,Name,ICAO,Callsign,Country,Active
1973,Dallas Express Airlines,DXP,DALLAS EXPRESS,United States,N
1974,Damascene Airways,DAS,AIRDAM,Syrian Arab Republic,N
1975,Danbury Airways,DSA,DANBURY AIRWAYS,United States,N
1976,Dancopter,DOP,DANCOPTER,Denmark,N
1977,Danish Air Force,DAF,DANISH AIRFORCE,Denmark,N
1978,Danish Army,DAR,DANISH ARMY,Denmark,N
1979,Danish Navy,DNY,DANISH NAVY,Denmark,N
1980,Danu Oro Transportas,DNU,DANU,Lithuania,N
1981,Darta,DRT,DARTA,France,N
1982,Darwin Airline,DWT,DARWIN,Switzerland,Y
1983,Dasab Airlines,DSQ,DASAB AIR,Uganda,N
1984,Dash Air Charter,DSH,DASH CHARTER,United States,N
1985,Dash Aviation,GOB,PILGRIM,United Kingdom,N
1986,Dasnair,DGX,DASNA,Switzerland,N
1987,Dassault Aviation,DAB,,France,N
1988,Dassault Falcon Jet Corporation,CVF,CLOVERLEAF,United States,N
1989,Dassault Falcon Service,DSO,DASSAULT,France,N
1990,Data International,DTN,DATA AIR,Sudan,N
1991,Date Transformation Corp,XDT,,United States,N
1992,Dauair,DAU,DAUAIR,Germany,N
1993,David Crawshaw Consultants Limited,DCO,,United Kingdom,N
1994,Dawn Air,DWN,DAWN AIR,United States,N
1995,DayJet,DJS,DAYJET,United States,N
1996,Daya Aviation,DAY,DAYA,Sri Lanka,N
1997,De Havilland,DHC,DEHAVILLAND,Canada,N
1998,Deadalos Flugtbetriebs,IAY,IASON,Austria,N
1999,Decatur Aviation,DAA,DECUR,United States,N
2000,Deccan Aviation,DKN,DECCAN,India,N
2001,Deccan Aviation (Lanka),DLK,DEKKANLANKA,Sri Lanka,N
2002,Deer Jet,DER,DEER JET,China,N
2003,Deere and Company,JDC,JOHN DEERE,United States,N
2004,Delaware Skyways,DWR,DELAWARE,United States,N
2005,Delta Aerotaxi,DEA,JET SERVICE,Italy,Y
2006,Delta Air Charter,SNO,SNOWBALL,Canada,N
2007,Delta Air Elite,ELJ,ELITE JET,United States,N
2008,Delta Air Lines,DAL,DELTA,United States,Y
2009,Delta Engineering Aviation,KMB,KEMBLEJET,United Kingdom,N
2010,Delta Express International,DLI,DELTA EXPRESS,Ukraine,N
2011,Delta State University,DSU,DELTA STATE,United States,N
2012,Denim Air,DNM,DENIM,Netherlands,Y
2013,Denver Express,FEC,FALCON EXPRESS,United States,N
2014,Denver Jet,DJT,DENVER JET,United States,N
2015,Departmento De Agricultura De La Generalitat De Cataluna,FGC,FORESTALES,Spain,N
2016,Deraya Air Taxi,DRY,DERAYA,Indonesia,N
2017,Des R Cargo Express,DRX,,Mauritania,N
2018,Desarrollo Milaz,MIZ,MILAZ,Mexico,N
2019,Destiny Air Services,DTY,DESTINY,Sierra Leone,N
2020,Deutsche Bahn,,,Germany,Y
2021,Deutsche Rettungsflugwacht,AMB,CIVIL AIR AMBULANCE,Germany,N
2022,Deutsches Zentrum fur Luft-und Raumfahrt EV,LFO,LUFO,Germany,N
2023,Di Air,DIS,DI AIR,Serbia,N
2024,Diamond Aviation,SPK,SPARKLE,United States,N
2025,Didier Rousset Buy,DRB,DIDIER,Chile,N
2026,Digital Equipment Corporation,DGT,DIGITAL,United States,N
2027,Dinar,RDN,AERO DINAR,Argentina,N
2028,Diplomatic Freight Services,DIP,DIPFREIGHT,United Kingdom,N
2029,Direccion General de Aviacion Civil y Telecomunicasciones,ENA,ENA,Spain,N
2030,Direct Air,DIA,BLUE SKY,United States,N
2031,Direct Air trading as Midway Connection,XAP,MID-TOWN,United States,N
2032,Direct Flight,DCT,,United Kingdom,N
2033,Sky Express,SXP,EXPRESS SKY,Poland,N
